"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,dulceria gold white,$          590.00,6.0,3.0,3.0,,,,,,,,,,,,,
,castillo gold white (per piece) VINYL,$           320.00,38.0,14.0,24.0,,,,,,,,,,,,,
,castillo gold black (per piece) VINYL,$           320.00,38.0,14.0,24.0,,,,,,,,,,,,,
,castillo silver white (per piece),$           320.00,36.0,20.0,16.0,,,,,,,,,,,,,
,castillo silver black (per piece),$           320.00,36.0,20.0,16.0,,,,,,,,,,,,,
,fortuna,"$       1,950.00",6.0,2.0,4.0,,,,,,,,,,,,,
,galactic,$          362.50,18.0,16.0,2.0,,,,,,,,,,,,,
,pegasus,$           313.00,1.0,1.0,0.0,,,,,,,,,,,,,
,galatic,$           400.00,16.0,16.0,0.0,,,,,,,,,,,,,
,thalis (paint white or black),$          529.00,17.0,25.0,12.0,,,,,,,,,,,,,
,bobino (paint white or black),$          529.00,19.0,8.0,11.0,,,,,,,,,,,,,
,parson black,$          390.00,35.0,29.0,6.0,,,,,,,,,,,,,
,parson white,$          390.00,29.0,19.0,10.0,,,,,,,,,,,,,
,tivoli square top,$          280.00,63.0,43.0,20.0,,,,,,,,,,,,,
,tivoli round top,$           280.00,40.0,28.0,12.0,,,,,,,,,,,,,
,bloem (black or white),$           250.00,37.0,37.0,0.0,,,,,,,,,,,,,
,mellow white,$           250.00,33.0,15.0,18.0,,,,,,,,,,,,,
,mellow black,$          250.00,14.0,4.0,10.0,,,,,,,,,,,,,
,blackberry,$          188.00,10.0,0.0,10.0,,,,,,,,,,,,,
,lychee,$          188.00,56.0,5.0,51.0,,,,,,,,,,,,,
,tulip black,$           225.00,43.0,21.0,22.0,,,,,,,,,,,,,
,tulip white,$           225.00,29.0,18.0,11.0,,,,,,,,,,,,,
,tulip purple,$          225.00,40.0,25.0,15.0,,,,,,,,,,,,,
,tulip yellow,$           225.00,40.0,25.0,15.0,,,,,,,,,,,,,
,tulip blue,$           225.00,40.0,25.0,15.0,,,,,,,,,,,,,
,tulip orange,$          225.00,40.0,25.0,15.0,,,,,,,,,,,,,
,tulip lime,$          225.00,7.0,0.0,7.0,,,,,,,,,,,,,
#####,tulip pink,$          225.00,40.0,25.0,15.0,,,,,,,,,,,,,
,bubbly black (COLORS UPON REQUEST,$          390.00,14.0,4.0,10.0,,,,,,,,,,,,,
,bubbly white (COLORS UPON REQUEST,$          390.00,33.0,15.0,18.0,,,,,,,,,,,,,
,quadra,$           420.00,16.0,14.0,2.0,,,,,,,,,,,,,
,jenga dinning,$          390.00,28.0,13.0,15.0,,,,,,,,,,,,,
,chambord,$          450.00,21.0,8.0,13.0,,,,,,,,,,,,,
,olivia,$          450.00,16.0,10.0,6.0,,,,,,,,,,,,,
,urban,$          420.00,27.0,18.0,9.0,,,,,,,,,,,,,
,europa,$           420.00,38.0,29.0,9.0,,,,,,,,,,,,,
,thalis garden,$          450.00,12.0,6.0,6.0,,,,,,,,,,,,,
,flores,$           362.50,12.0,6.0,6.0,,,,,,,,,,,,,
,abstract available in different color,$           150.00,25.0,10.0,15.0,,,,,,,,,,,,,
,toscana buffet GOLD,$          890.00,4.0,4.0,0.0,,,,,,,,,,,,,
,toscana buffet SILVER (WHITE TOP OPT,O$N  )        890.00,4.0,4.0,0.0,,,,,,,,,,,,,
,Cocktail table,,,,,,,,,,,,,,,,,
,moma silver frame,$           225.00,47.0,40.0,7.0,,,,,,,,,,,,,
,moma gold frame,$           225.00,44.0,40.0,4.0,,,,,,,,,,,,,
,white top,$          225.00,150.0,100.0,50.0,,,,,,,,,,,,,
,black top,$          225.00,150.0,100.0,50.0,,,,,,,,,,,,,
,silver top,$          225.00,150.0,100.0,50.0,,,,,,,,,,,,,
,gold top,$           225.00,150.0,100.0,50.0,,,,,,,,,,,,,
,moma black,$          225.00,41.0,26.0,15.0,,,,,,,,,,,,,
,moma white,$           225.00,37.0,23.0,14.0,,,,,,,,,,,,,
,moma rectangular gold frame,$          350.00,69.0,50.0,19.0,,,,,,,,,,,,,
,moma rectangular silver frame,$           350.00,79.0,50.0,29.0,,,,,,,,,,,,,
,white top,$          350.00,150.0,100.0,50.0,,,,,,,,,,,,,
,black top,$           350.00,150.0,100.0,50.0,,,,,,,,,,,,,
,gold top,$           350.00,150.0,100.0,50.0,,,,,,,,,,,,,
,silver top,$           350.00,150.0,100.0,50.0,,,,,,,,,,,,,
,moma rectangular white,$           350.00,37.0,16.0,21.0,,,,,,,,,,,,,
,moma rectangular black,$          350.00,37.0,18.0,19.0,,,,,,,,,,,,,
,regatta gold,$           225.00,25.0,15.0,10.0,,,,,,,,,,,,,
,regatta silver,$          225.00,23.0,13.0,10.0,,,,,,,,,,,,,
,"uno pedestal silver,black white",$          250.00,35.0,19.0,16.0,,,,,,,,,,,,,
,french garden,$           250.00,10.0,6.0,4.0,,,,,,,,,,,,,
,Fly (color upon request),$           294.00,34.0,29.0,5.0,,,,,,,,,,,,,
,saturn,$          188.00,24.0,12.0,12.0,,,,,,,,,,,,,
,happy hour,$          150.00,26.0,15.0,11.0,,,,,,,,,,,,,
,delta white,$          294.00,48.0,40.0,8.0,,,,,,,,,,,,,
,palette black,$          250.00,18.0,9.0,9.0,,,,,,,,,,,,,
,kaleido high (color upon request),$          294.00,45.0,30.0,15.0,,,,,,,,,,,,,
,sycomore gold,$           290.00,38.0,26.0,12.0,,,,,,,,,,,,,
,plata (SALE ITEM),$          225.00,11.0,0.0,11.0,,,,,,,,,,,,,
,carrara,$          225.00,67.0,35.0,32.0,,,,,,,,,,,,,
,walnut,$          225.00,22.0,18.0,4.0,,,,,,,,,,,,,
,Nefertiti silver 2.0 (NEW) matte silver,$           225.00,49.0,39.0,10.0,,,,,,,,,,,,,
,Nefertiti gold 2.0 (NEW) matte gold,$          225.00,35.0,25.0,10.0,,,,,,,,,,,,,
,yellow skirt,,,,,,,,,,,,,,,,,
,purple skirt,,,,,,,,,,,,,,,,,
